neighbourhood_group,neighbourhood,lat,lon,n
Staten Island,Clifton,40.619166,-74.08156133333334,15
Staten Island,Concord,40.60201192307692,-74.08418653846154,26
Staten Island,Dongan Hills,40.580395714285714,-74.09334142857142,7
Staten Island,Eltingville,40.541043333333334,-74.15436333333334,3
Staten Island,Emerson Hill,40.607162,-74.12800999999999,5
Staten Island,Fort Wadsworth,40.59546,-74.06092,1
Staten Island,Graniteville,40.62283,-74.16575333333334,3
Staten Island,Grant City,40.57893,-74.10933,6
Staten Island,Great Kills,40.549969,-74.144807,10
Staten Island,Grymes Hill,40.614848571428574,-74.09376285714286,7
Staten Island,Howland Hook,40.631294999999994,-74.17262,2
Staten Island,Huguenot,40.53946666666667,-74.17168,3
Staten Island,Lighthouse Hill,40.576795000000004,-74.13456,2
Staten Island,Mariners Harbor,40.63317875,-74.15921625,8
Staten Island,Midland Beach,40.57369666666667,-74.095325,6
Staten Island,New Brighton,40.642607999999996,-74.092958,5
Staten Island,New Dorp,40.57044,-74.11747,1
Staten Island,New Dorp Beach,40.564828,-74.102124,5
Staten Island,New Springville,40.5845125,-74.15781,8
Staten Island,Oakwood,40.560512,-74.11859999999999,5
Staten Island,Port Richmond,40.63314888888888,-74.13383222222222,9
Staten Island,Prince's Bay,40.5257,-74.201255,4
Staten Island,Randall Manor,40.632749473684214,-74.12150421052631,19
Staten Island,Richmondtown,40.57093,-74.12429,1
Staten Island,Rosebank,40.61214857142857,-74.07099142857143,7
Staten Island,Rossville,40.5479,-74.21017,1
Staten Island,Shore Acres,40.608822857142854,-74.06672428571427,7
Staten Island,Silver Lake,40.623395,-74.09649999999999,2
Staten Island,South Beach,40.59120125,-74.08733125,8
Staten Island,St. George,40.643308125,-74.08182270833333,48
Staten Island,Stapleton,40.632663333333326,-74.07849518518518,27
Staten Island,Todt Hill,40.603375,-74.110105,4
Staten Island,Tompkinsville,40.633134523809524,-74.08646476190476,42
Staten Island,Tottenville,40.507349999999995,-74.23939,7
Staten Island,West Brighton,40.63193222222222,-74.11595888888888,18
Staten Island,Westerleigh,40.613895,-74.13366500000001,2
Staten Island,Willowbrook,40.59886,-74.13217,1
Staten Island,Woodrow,40.53884,-74.19826,1
